,state,age_bin,female,male,total
0,abia,0 to 1,40423,41981,82404
1,abia,1 to 4,151523,156985,308508
2,abia,10 to 14,225399,224725,450124
3,abia,15 to 19,202274,205808,408082
4,abia,20 to 24,152531,167358,319889
5,abia,25 to 29,125504,130081,255585
6,abia,30 to 34,110957,108092,219049
7,abia,35 to 39,104456,93081,197537
8,abia,40 to 44,82230,84397,166627
9,abia,45 to 49,75238,74798,150036
10,abia,5 to 9,191172,198050,389222
11,abia,50 to 54,59550,56828,116378
12,abia,55 to 59,56281,51034,107315
13,abia,60 to 64,39492,33037,72529
14,abia,65 to 69,35878,31895,67773
15,abia,70 to 74,23348,18903,42251
16,abia,75 to 79,15895,13832,29727
17,abia,80 to 100,9723,6840,16563
18,abuja,0 to 1,76035,76103,152138
19,abuja,1 to 4,285011,284580,569591
20,abuja,10 to 14,264670,225784,490454
21,abuja,15 to 19,209070,186954,396024
22,abuja,20 to 24,222378,227362,449740
23,abuja,25 to 29,225464,288414,513878
24,abuja,30 to 34,176123,247352,423475
25,abuja,35 to 39,135579,214302,349881
26,abuja,40 to 44,83887,135502,219389
27,abuja,45 to 49,60454,109254,169708
28,abuja,5 to 9,287056,274040,561096
29,abuja,50 to 54,37018,57013,94031
30,abuja,55 to 59,31244,48161,79405
31,abuja,60 to 64,17626,19042,36668
32,abuja,65 to 69,16229,16296,32525
33,abuja,70 to 74,10101,7467,17568
34,abuja,75 to 79,6456,5234,11690
35,abuja,80 to 100,4633,3572,8205
36,adamawa,0 to 1,92145,96416,188561
37,adamawa,1 to 4,345401,360540,705941
38,adamawa,10 to 14,318809,323087,641896
39,adamawa,15 to 19,260245,264414,524659
40,adamawa,20 to 24,214749,210999,425748
41,adamawa,25 to 29,179334,182463,361797
42,adamawa,30 to 34,152601,159604,312205
43,adamawa,35 to 39,121020,137624,258644
44,adamawa,40 to 44,103929,106350,210279
45,adamawa,45 to 49,75337,83054,158391
46,adamawa,5 to 9,378061,389197,767258
47,adamawa,50 to 54,70499,63149,133648
48,adamawa,55 to 59,52617,55085,107702
49,adamawa,60 to 64,47828,37914,85742
50,adamawa,65 to 69,35196,33669,68865
51,adamawa,70 to 74,31269,24228,55497
52,adamawa,75 to 79,16402,15426,31828
53,adamawa,80 to 100,11181,8584,19765
54,akwa ibom,0 to 1,40531,42891,83422
55,akwa ibom,1 to 4,151929,160386,312315
56,akwa ibom,10 to 14,210296,218871,429167
57,akwa ibom,15 to 19,190561,202497,393058
