,state,start_date,end_date,age_group,doses
0,niger,2005-12-06,2005-12-10,9M-15Y,1558355
1,abuja,2005-12-06,2005-12-10,9M-15Y,406368
2,kogi,2005-12-06,2005-12-10,9M-15Y,826893
3,kwara,2005-12-06,2005-12-10,9M-15Y,772863
4,plateau,2005-12-06,2005-12-10,9M-15Y,1004577
5,benue,2005-12-06,2005-12-10,9M-15Y,1418404
6,nasarawa,2005-12-06,2005-12-10,9M-15Y,597428
7,gombe,2005-12-06,2005-12-10,9M-15Y,869252
8,yobe,2005-12-06,2005-12-10,9M-15Y,1026304
9,borno,2005-12-06,2005-12-10,9M-15Y,1570308
10,bauchi,2005-12-06,2005-12-10,9M-15Y,1899307
11,taraba,2005-12-06,2005-12-10,9M-15Y,875955
12,adamawa,2005-12-06,2005-12-10,9M-15Y,1142393
13,sokoto,2005-12-06,2005-12-10,9M-15Y,1539843
14,kebbi,2005-12-06,2005-12-10,9M-15Y,1281942
15,katsina,2005-12-06,2005-12-10,9M-15Y,2560024
16,kano,2005-12-06,2005-12-10,9M-15Y,3747288
17,kaduna,2005-12-06,2005-12-10,9M-15Y,2155602
18,zamfara,2005-12-06,2005-12-10,9M-15Y,1494502
19,jigawa,2005-12-06,2005-12-10,9M-15Y,1791364
20,imo,2006-10-03,2006-10-09,9M-15Y,1248709
21,anambra,2006-10-03,2006-10-09,9M-15Y,1527039
22,ebonyi,2006-10-03,2006-10-09,9M-15Y,1074029
23,abia,2006-10-03,2006-10-09,9M-15Y,997412
24,enugu,2006-10-03,2006-10-09,9M-15Y,1068423
25,delta,2006-10-03,2006-10-09,9M-15Y,1699974
26,cross river,2006-10-03,2006-10-09,9M-15Y,1373672
27,bayelsa,2006-10-03,2006-10-09,9M-15Y,818668
28,rivers,2006-10-03,2006-10-09,9M-15Y,2168563
29,akwa ibom,2006-10-03,2006-10-09,9M-15Y,1379595
30,edo,2006-10-03,2006-10-09,9M-15Y,1259140
31,lagos,2006-10-03,2006-10-09,9M-15Y,3785454
32,ekiti,2006-10-03,2006-10-09,9M-15Y,868445
33,ondo,2006-10-03,2006-10-09,9M-15Y,1358751
34,osun,2006-10-03,2006-10-09,9M-15Y,1424164
35,oyo,2006-10-03,2006-10-09,9M-15Y,2624641
36,ogun,2006-10-03,2006-10-09,9M-15Y,1677116
37,imo,2007-01-01,2007-01-06,9-59M,133900
38,anambra,2007-01-01,2007-01-06,9-59M,163746
39,ebonyi,2007-01-01,2007-01-06,9-59M,115169
40,abia,2007-01-01,2007-01-06,9-59M,106953
41,enugu,2007-01-01,2007-01-06,9-59M,114568
42,delta,2007-01-01,2007-01-06,9-59M,182290
43,cross river,2007-01-01,2007-01-06,9-59M,147300
44,bayelsa,2007-01-01,2007-01-06,9-59M,87786
45,rivers,2007-01-01,2007-01-06,9-59M,232537
46,akwa ibom,2007-01-01,2007-01-06,9-59M,147935
47,edo,2007-01-01,2007-01-06,9-59M,135018
48,lagos,2007-01-01,2007-01-06,9-59M,405917
49,ekiti,2007-01-01,2007-01-06,9-59M,93124
50,ondo,2007-01-01,2007-01-06,9-59M,145700
51,osun,2007-01-01,2007-01-06,9-59M,152714
52,oyo,2007-01-01,2007-01-06,9-59M,281442
53,ogun,2007-01-01,2007-01-06,9-59M,179838
