,state,region
0,abuja,north central
1,benue,north central
2,kogi,north central
3,kwara,north central
4,nasarawa,north central
5,niger,north central
6,plateau,north central
7,adamawa,north east
8,bauchi,north east
9,borno,north east
10,gombe,north east
11,taraba,north east
12,yobe,north east
13,jigawa,north west
14,kaduna,north west
15,kano,north west
16,katsina,north west
17,kebbi,north west
18,sokoto,north west
19,zamfara,north west
20,abia,south east
21,anambra,south east
22,ebonyi,south east
23,enugu,south east
24,imo,south east
25,akwa ibom,south south
26,bayelsa,south south
27,cross river,south south
28,delta,south south
29,edo,south south
30,rivers,south south
31,ekiti,south west
32,lagos,south west
33,ogun,south west
34,ondo,south west
35,osun,south west
36,oyo,south west
