,state,year,age_group,svy_type,mcv_est,mcv_se
0,abia,2008-01-01,12_23m,DHS,0.6065474464791207,0.0607489125803734
1,adamawa,2008-01-01,12_23m,DHS,0.4113924050632911,0.0548981352596862
2,akwa ibom,2008-01-01,12_23m,DHS,0.5021615487983954,0.0528776391900212
3,anambra,2008-01-01,12_23m,DHS,0.7085346177260003,0.0425615276371472
4,bauchi,2008-01-01,12_23m,DHS,0.1494610566552264,0.0323572935880364
5,bayelsa,2008-01-01,12_23m,DHS,0.3085106382978723,0.053429056917193
6,benue,2008-01-01,12_23m,DHS,0.4305335893385736,0.0693804684298261
7,borno,2008-01-01,12_23m,DHS,0.1289550751478898,0.0323929459371211
8,cross river,2008-01-01,12_23m,DHS,0.6387900450961509,0.0767040490013843
9,delta,2008-01-01,12_23m,DHS,0.6158949337268675,0.0503860540975915
10,ebonyi,2008-01-01,12_23m,DHS,0.6045785676951628,0.0512295394467533
11,edo,2008-01-01,12_23m,DHS,0.7379821319615489,0.0496961551344884
12,ekiti,2008-01-01,12_23m,DHS,0.8522980507610002,0.0419649363995648
13,enugu,2008-01-01,12_23m,DHS,0.5374920900652865,0.0690555851421301
14,abuja,2008-01-01,12_23m,DHS,0.7303896241940169,0.0454753620569618
15,gombe,2008-01-01,12_23m,DHS,0.3726880050942325,0.0512571071831294
16,imo,2008-01-01,12_23m,DHS,0.653030971391658,0.0582177492148506
17,jigawa,2008-01-01,12_23m,DHS,0.0799806900849595,0.0221749381233524
18,kaduna,2008-01-01,12_23m,DHS,0.5655374237397941,0.0459478831811459
19,kano,2008-01-01,12_23m,DHS,0.1767035560457621,0.0381714439127359
20,katsina,2008-01-01,12_23m,DHS,0.0840707964601769,0.0175437994027095
21,kebbi,2008-01-01,12_23m,DHS,0.2108433734939759,0.0411818477232514
22,kogi,2008-01-01,12_23m,DHS,0.7057799941497758,0.069799304655827
23,kwara,2008-01-01,12_23m,DHS,0.6043746386081392,0.0782559978433422
24,lagos,2008-01-01,12_23m,DHS,0.6920977016118205,0.053689832839152
25,nasarawa,2008-01-01,12_23m,DHS,0.3908582084205657,0.0597569203773786
26,niger,2008-01-01,12_23m,DHS,0.3206039685451834,0.0461991766629384
27,ogun,2008-01-01,12_23m,DHS,0.423613267195759,0.0677322012075832
28,ondo,2008-01-01,12_23m,DHS,0.6384743157510968,0.0788547406711466
29,osun,2008-01-01,12_23m,DHS,0.8417015517541527,0.0422990903695102
30,oyo,2008-01-01,12_23m,DHS,0.5856282147420251,0.0601416366811906
31,plateau,2008-01-01,12_23m,DHS,0.6508710528010391,0.0603589110083602
32,rivers,2008-01-01,12_23m,DHS,0.4932699846456091,0.0793689976500943
33,sokoto,2008-01-01,12_23m,DHS,0.035,0.0148031956914232
34,taraba,2008-01-01,12_23m,DHS,0.3520471076700824,0.0456910934965879
35,yobe,2008-01-01,12_23m,DHS,0.2512152711452434,0.0538298015342229
36,zamfara,2008-01-01,12_23m,DHS,0.1430749453086215,0.0266869289404942
37,abia,2011-01-01,12_23m,MICS,0.7920704282114475,0.068479930692289
38,adamawa,2011-01-01,12_23m,MICS,0.7007317328391801,0.0451657559557909
39,akwa ibom,2011-01-01,12_23m,MICS,0.7896296131621847,0.0663737635788906
40,anambra,2011-01-01,12_23m,MICS,0.8412422838110293,0.0525587155014211
41,bauchi,2011-01-01,12_23m,MICS,0.3318458623599231,0.0469523431874057
42,bayelsa,2011-01-01,12_23m,MICS,0.6146691018091797,0.0644072600074645
43,benue,2011-01-01,12_23m,MICS,0.5003806086573896,0.0461387224280539
44,borno,2011-01-01,12_23m,MICS,0.1433489262082209,0.0595277491114886
45,cross river,2011-01-01,12_23m,MICS,0.699880340095172,0.0519137352400463
46,delta,2011-01-01,12_23m,MICS,0.6648255405188238,0.0656912278447408
47,ebonyi,2011-01-01,12_23m,MICS,0.8242366954713324,0.0419245933813135
48,edo,2011-01-01,12_23m,MICS,0.8423988650259288,0.0665785778402599
49,ekiti,2011-01-01,12_23m,MICS,0.904167513836497,0.0353350813894254
50,enugu,2011-01-01,12_23m,MICS,0.7795657092910636,0.0592046993639217
51,abuja,2011-01-01,12_23m,MICS,0.7537939295888105,0.0755239392326388
52,gombe,2011-01-01,12_23m,MICS,0.5419877540625258,0.0494276673885853
53,imo,2011-01-01,12_23m,MICS,0.8204390933098697,0.0760841615757675
54,jigawa,2011-01-01,12_23m,MICS,0.2061300982534646,0.0451972024551425
55,kaduna,2011-01-01,12_23m,MICS,0.5853291218586193,0.0742794166675085
56,kano,2011-01-01,12_23m,MICS,0.341747515883509,0.0488509704332131
57,katsina,2011-01-01,12_23m,MICS,0.3864734454796509,0.0473007468630087
58,kebbi,2011-01-01,12_23m,MICS,0.1754380341086182,0.0324073351496477
59,kogi,2011-01-01,12_23m,MICS,0.6708551090486465,0.0668581267013495
60,kwara,2011-01-01,12_23m,MICS,0.7638084919664491,0.0505046791253035
61,lagos,2011-01-01,12_23m,MICS,0.8434512530442354,0.0502943183292757
62,nasarawa,2011-01-01,12_23m,MICS,0.5014068787641393,0.052422770219602
63,niger,2011-01-01,12_23m,MICS,0.3493553301138217,0.0534194884487692
64,ogun,2011-01-01,12_23m,MICS,0.6843789028026388,0.0507521361565674
65,ondo,2011-01-01,12_23m,MICS,0.7446277913677658,0.0564271808585202
66,osun,2011-01-01,12_23m,MICS,0.819069212052854,0.0476318655420633
67,oyo,2011-01-01,12_23m,MICS,0.6651319553209428,0.0648951351271889
68,plateau,2011-01-01,12_23m,MICS,0.6043215901290216,0.0669253634505103
69,rivers,2011-01-01,12_23m,MICS,0.7006561348670561,0.050409492267568
70,sokoto,2011-01-01,12_23m,MICS,0.0682532433755865,0.0317797588504188
71,taraba,2011-01-01,12_23m,MICS,0.4496906840030202,0.0526626944233722
72,yobe,2011-01-01,12_23m,MICS,0.2709408885823932,0.0652512527430956
73,zamfara,2011-01-01,12_23m,MICS,0.1205541840116122,0.0314405748181433
74,abia,2013-01-01,12_23m,DHS,0.7233917092919273,0.0440576454207605
75,adamawa,2013-01-01,12_23m,DHS,0.6880799155841394,0.0483377996323757
76,akwa ibom,2013-01-01,12_23m,DHS,0.7518032260560009,0.0400397180127097
77,anambra,2013-01-01,12_23m,DHS,0.7502035290247339,0.0685198809700788
78,bauchi,2013-01-01,12_23m,DHS,0.2036639941638167,0.0394655101873795
79,bayelsa,2013-01-01,12_23m,DHS,0.7231643971823632,0.0439150312843038
80,benue,2013-01-01,12_23m,DHS,0.4269526111618454,0.0631560912657891
81,borno,2013-01-01,12_23m,DHS,0.158427868735997,0.0449651683595535
82,cross river,2013-01-01,12_23m,DHS,0.7662667757180082,0.0700964301216208
83,delta,2013-01-01,12_23m,DHS,0.6070563459607341,0.084171834761542
84,ebonyi,2013-01-01,12_23m,DHS,0.6116615684548777,0.0732967151949491
85,edo,2013-01-01,12_23m,DHS,0.7693494563868756,0.0480994767710207
86,ekiti,2013-01-01,12_23m,DHS,0.8541675934614619,0.0359054725075352
87,enugu,2013-01-01,12_23m,DHS,0.7838217827735003,0.0407247119615863
88,abuja,2013-01-01,12_23m,DHS,0.6964500577070686,0.0712117007152386
89,gombe,2013-01-01,12_23m,DHS,0.3646385765385506,0.0717899471819991
90,imo,2013-01-01,12_23m,DHS,0.7657254469029924,0.0474826514974465
91,jigawa,2013-01-01,12_23m,DHS,0.1116283882238989,0.0257213178724704
92,kaduna,2013-01-01,12_23m,DHS,0.5642194795681464,0.079826536697408
93,kano,2013-01-01,12_23m,DHS,0.2523227216506881,0.0370273451646145
94,katsina,2013-01-01,12_23m,DHS,0.4226904954996658,0.0742641159985094
95,kebbi,2013-01-01,12_23m,DHS,0.0319537360083104,0.0170611375537444
96,kogi,2013-01-01,12_23m,DHS,0.7549697294869842,0.0456573447840674
97,kwara,2013-01-01,12_23m,DHS,0.5807173345472415,0.0741243681646686
98,lagos,2013-01-01,12_23m,DHS,0.7562547283314505,0.0413857937348294
99,nasarawa,2013-01-01,12_23m,DHS,0.4570523354160203,0.0512372884046174
100,niger,2013-01-01,12_23m,DHS,0.388718284164827,0.0653085220323769
101,ogun,2013-01-01,12_23m,DHS,0.5190769025787105,0.0433236604536192
102,ondo,2013-01-01,12_23m,DHS,0.6177211699718086,0.0815696298590672
103,osun,2013-01-01,12_23m,DHS,0.7554008276962313,0.0453548188925027
104,oyo,2013-01-01,12_23m,DHS,0.4536634206590326,0.0580365044170363
105,plateau,2013-01-01,12_23m,DHS,0.4659707589922536,0.0733928860305942
106,rivers,2013-01-01,12_23m,DHS,0.8057306433908159,0.0526616714632681
107,sokoto,2013-01-01,12_23m,DHS,0.0364759381700584,0.0172076885800155
108,taraba,2013-01-01,12_23m,DHS,0.2759929819466181,0.0611907337461711
109,yobe,2013-01-01,12_23m,DHS,0.1003799228563372,0.0240921559176151
110,zamfara,2013-01-01,12_23m,DHS,0.0792044996133356,0.023639308419847
185,abia,2016-01-01,12_23m,MICS,0.6570048309178744,0.0497133618537887
186,adamawa,2016-01-01,12_23m,MICS,0.4875688303020191,0.0580177122633115
187,akwa ibom,2016-01-01,12_23m,MICS,0.5966017429132358,0.0639671343906527
188,anambra,2016-01-01,12_23m,MICS,0.7233096085409252,0.0498494015813571
189,bauchi,2016-01-01,12_23m,MICS,0.2221827546399076,0.0382922141707481
190,bayelsa,2016-01-01,12_23m,MICS,0.5154604145429833,0.0538903482777827
191,benue,2016-01-01,12_23m,MICS,0.5269168026101142,0.0646660987072557
192,borno,2016-01-01,12_23m,MICS,0.5809388335704125,0.0707821519855814
193,cross river,2016-01-01,12_23m,MICS,0.7427937915742793,0.0540978933839845
194,delta,2016-01-01,12_23m,MICS,0.6301766579785694,0.0548236379544085
195,ebonyi,2016-01-01,12_23m,MICS,0.5764705882352941,0.0646794218047821
196,edo,2016-01-01,12_23m,MICS,0.8951992469406966,0.0408386344947019
197,ekiti,2016-01-01,12_23m,MICS,0.7479729729729729,0.0600059600917555
198,enugu,2016-01-01,12_23m,MICS,0.8016276703967447,0.0501781760821047
199,abuja,2016-01-01,12_23m,MICS,0.7485563041385948,0.0458255084344439
200,gombe,2016-01-01,12_23m,MICS,0.3287537993920973,0.0414601695936472
201,imo,2016-01-01,12_23m,MICS,0.7418967587034814,0.0485947240227631
202,jigawa,2016-01-01,12_23m,MICS,0.1044297832233741,0.0197966293933968
203,kaduna,2016-01-01,12_23m,MICS,0.4314006631418586,0.0615025702336225
204,kano,2016-01-01,12_23m,MICS,0.2414039591756145,0.023768917807022
205,katsina,2016-01-01,12_23m,MICS,0.2113255298956026,0.0362652122008347
206,kebbi,2016-01-01,12_23m,MICS,0.2545408678102926,0.0407031242839217
